Arabic,240k,Score,avg_8,Score,exp1_5000,Score,exp1_240,Score,exp1_avg8,Score,exp2_5000,Score,exp2_240,Score,exp2_avg8,Score
114. وقد ترتبت على نظام العدل الجديد مطالب جديدة ينبغي للإدارة الاستجابة لها.,114. The new justice system has brought new demands on the Administration.,2,114. The new justice system has brought new demands on the Administration.,2,114. The new justice system has brought new demands on the administration.,2,114. The new justice system has brought new demands on the Administration.,2,114. The new justice system has brought new demands on the Administration.,2,The new justice system has created new demands that the administration should respond to.,4,114. The new justice system has brought new demands on the Administration.,2,114. The new justice system has brought new demands on the Administration.,2
إنهم من لندن,They're from London.,4,They're from London.,4,They're from London.,4,They're from London.,4,They're from London.,4,They're from London.,4,They're from London.,4,They're from London.,4
شعبة السياسات والممارسات (المقر - نيويورك),"Policy and Practice Division (Headquarters, New York)",4,"Policy and Practice Division (Headquarters, New York)",4,Policy and Practice Division (Headquarters - New York),4,Policy and Practice Division (Headquarters -- New York),4,Policy and Practice Division (Headquarters -- New York),4,Policy and Practice Division (New York headquarters),4,Policy and Practice Division (New York headquarters),4,Policy and Practice Division (Headquarters -- New York),4
(ج) رفض الصيغة المتفق عليها في لواندا بشأن التمثيل في لجنة إيتوري التحضيرية للمصالحة.,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Rejecting the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,4,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3,(c) Reject the formula agreed in Luanda on representation in the Ituri Pacification Preparatory Commission.,3
114. وأشارت الولايات المتحدة إلى أنها لا تستطيع مساندة المادة المتعلقة بالتقادم، بالنظر إلى نظامها الاتحادي، ضمن أسباب أخرى.,"114. The United States indicated that it could not support the article on prescription, given its federal system, among other reasons.",4,"114. The United States indicated that it could not support the article on prescription, given, inter alia, its federal system.",4,"114. The United States indicated that it could not support the statute of limitations, given its federal system, among other reasons.",4,"114. The United States indicated that it could not support the article on prescription, given its federal system, among other reasons.",4,"114. The United States indicated that it could not support the statute of limitations article, given its federal system, among other reasons.",4,"The United States noted that it could not support the statute of limitations, among other reasons.",3,"114. The United States noted that it could not support the statute of limitations article, among other reasons, given its federal system.",4,"114. The United States noted that it could not support the statute of limitations article, among other reasons.",3
ويدّعي قادة صرب كوسوفو في الشمال أنهم لن يغيروا موقفهم، بصرف النظر عن النهج الذي تتبعه بلغراد.,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of the approach taken by Belgrade.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of the approach taken by Belgrade.",4,"Kosovo Serb leaders in the north claim that they will not change their position, regardless of Belgrade's approach.",4
"وتشارك ""ميغرو"" و10 جمعيات منتجين في مختلف مراحل العملية.",Migros and 10 producer associations are involved in the various stages of the process.,4,Migros and 10 producer associations participate in the various stages of the process.,4,Migro and 10 producer associations are involved in various stages of the process.,4,Migros and 10 producer associations are involved in various stages of the process.,4,Migros and 10 producer associations are involved in the various stages of the process.,4,Migro and 10 producer associations are involved in the various stages of the process.,4,Migros and 10 producer associations are involved in the various stages of the process.,4,Migros and 10 producer associations are involved in the various stages of the process.,4
أنت لا توافق؟,You don't agree?,4,You don't approve?,4,You don't agree?,4,You don't agree?,4,You don't agree?,4,You don't approve?,4,You don't agree?,4,You don't approve?,4
1. يحيط علماً مع التقدير بأعمال برنامج الأمم المتحدة للبيئة في مجال مشاركة دوائر الأعمال التجارية والصناعة، بشأن زيادة دعم المشاركة في المسؤولية البيئية والاجتماعية، والمساءلة، والشفافية؛,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry engagement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry involvement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry involvement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry engagement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry engagement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry participation, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry engagement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4,"1. Takes note with appreciation of the work of the United Nations Environment Programme in the area of business and industry engagement, on enhancing support for shared environmental and social responsibility, accountability and transparency;",4
ومن بين هذه الأحكام تحويل الحكومة المركزية أموالا إلى صندوق إعمار وتنمية دارفور حتى يتسنى تنفيذ مشاريع الإعمار، أرجئ صرف الشريحة الأولى منها (200 مليون دولار) التي كان من المقرر صرفها لدى توقيع الاتفاق في 14 تموز/يوليه 2011.,"Among those provisions was the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund for the implementation of reconstruction projects, the first tranche ($200 million), which was to have been disbursed at the time of the signing of the Agreement on 14 July 2011, was deferred.",3,"These included the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche of which ($200 million) was deferred from the signing of the Agreement on 14 July 2011.",2,"Among these provisions, the Central Government transferred funds to the Darfur Reconstruction and Development Fund to enable the implementation of the reconstruction projects, the first tranche of which ($200 million) was to be disbursed when the agreement was signed on 14 July 2011.",4,"Among these provisions was the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche ($200 million) that was to have been disbursed at the time of the signing of the agreement on 14 July 2011 was delayed.",3,"Among these provisions was the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche ($200 million) that was to be disbursed at the time of the signing of the agreement on 14 July 2011 was postponed.",3,"These include the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche ($200 million), which was to be disbursed upon the signing of the Agreement on 14 July 2011, has been delayed.",2,"One such provision was the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche ($200 million), which was to be disbursed at the time of the signing of the Agreement on 14 July 2011, was delayed.",3,"One such provision was the transfer by the central Government of funds to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche ($200 million), which was to be disbursed at the time of the signing of the Agreement on 14 July 2011, was delayed.",3
