Arabic,240k,Score,avg_8,Score,exp1_5000,Score,exp1_240,Score,exp1_avg8,Score,exp2_5000,Score,exp2_240,Score,exp2_avg8,Score
يجب أن تتيح المشاركة السريعة لهذا البروتوكول النقد العلمي والتعلم المشترك.,The rapid participation of this protocol should allow scientific criticism and joint learning.,3,The rapid participation of this protocol should allow scientific criticism and joint learning.,3,The rapid engagement of this protocol should allow for scientific criticism and shared learning.,4,The rapid participation of this protocol should allow scientific criticism and joint learning.,3,The rapid engagement of this protocol should allow scientific criticism and shared learning.,4,The rapid sharing of this protocol should allow for scientific criticism and joint learning.,3,The rapid participation of this protocol should allow scientific criticism and joint learning.,3,The rapid participation of this protocol should allow scientific criticism and joint learning.,3
ونظرًا إلى تشابه كوفيد-19 مع سارس كوف وميرس كوف، من المحتمل أن يكون تأثيرها على الحمل متشابهًا.,"Given the similarity of COVID-19 to SARS-CoV and Mirs-CoV, its impact on pregnancy is likely to be similar.",3,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely to be similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely to be similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely to be similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely to be similar.",4,"Given the similarity of COVID-19 to SARS-CoV and MERS-CoV, its impact on pregnancy is likely to be similar.",4
3) لقد وجهت الحكومة مكتب خدمات الطوارئ إلى اتخاذ الخطوات الضرورية لضمان الامتثال لهذا الأمر.,(3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance.,3,(3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance.,3,3) The government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this order.,4,3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this order.,4,(3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this order.,4,3) The government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this order.,4,(3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this order.,4,(3) The Government has directed the Office of Emergency Services to take the necessary steps to ensure compliance with this Order.,4
ومع ذلك، تعتمد الفاعلية على استمرار تباعد الأطفال خارج المدرسة.,"However, effectiveness depends on children staying away from school.",1,"However, effectiveness depends on children staying out of school.",1,"However, effectiveness depends on children continuing to diverge outside of school.",2,"However, effectiveness depends on children staying away from school.",1,"However, effectiveness depends on children staying away from school.",1,"Effectiveness, however, depends on the continued spacing of children outside the school.",4,"However, effectiveness depends on children staying apart outside school.",3,"However, effectiveness depends on children staying apart outside school.",3
بدأت عدة دول تشجيع الأشخاص العاديين على ارتداء أقنعة الوجه.,Several countries began encouraging ordinary people to wear face masks.,4,Several countries began encouraging ordinary people to wear face masks.,4,Several countries have begun encouraging ordinary people to wear face masks.,4,Several countries have begun encouraging ordinary people to wear face masks.,4,Several countries have begun encouraging ordinary people to wear face masks.,4,Several countries began encouraging ordinary people to wear face masks.,4,Several countries began encouraging ordinary people to wear face masks.,4,Several countries began encouraging ordinary people to wear face masks.,4
لا يوصى باستخدام حمامات الولادة للحالات المشتبه أو المؤكدة إصابتها بكوفيد-19؛ بسبب خطر العدوى عن طريق البراز.,The use of maternity wards for suspected or confirmed cases of COVID-19 is not recommended because of the risk of fecal infection.,2,The use of birth baths for suspected or confirmed cases of COVID-19 is not recommended because of the risk of fecal infection.,4,The use of birthing pools is not recommended for cases with suspected or confirmed COVID-19; due to the risk of fecal-borne infection.,3,The use of birth baths is not recommended for cases suspected or confirmed to have COVID-19; due to the risk of fecal infection.,4,The use of birth baths is not recommended for cases suspected or confirmed to have COVID-19; due to the risk of fecal infection.,4,The use of birth baths is not recommended for cases suspected or confirmed to have COVID-19; due to the risk of infection via the fecal route.,4,The use of birth baths for suspected or confirmed cases of COVID-19 is not recommended; due to the risk of infection by fecal matter.,4,The use of birth baths is not recommended for cases suspected or confirmed to have COVID-19; due to the risk of fecal infection.,4
على نحو خاص، نسلط الضوء ونناقش الاعتقاد الشائع بأن الفيروسات الأصلية لفيروسات كورونا البشرية عادة ما تكون غير مسببة للأمراض في مضيفاتها المستودعة الطبيعية ولكنها تصبح مسببة للأمراض بعد انتقالها بين الأنواع إلى مضيف جديد.,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually not pathogenic in their naturally occurring host but become pathogenic after interspecies transmission to a new host.",3,"In particular, we highlight and discuss the common belief that native viruses of human coronaviruses are usually not pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",3,"In particular, we highlight and discuss the common belief that the original viruses of human CoVs are usually non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually not pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4,"In particular, we highlight and discuss the common belief that the original viruses of human coronaviruses are usually non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",4
وقلت إن هذا ضغط في صدرك,You said it was pressure in your chest.,3,And you said that's pressure in your chest.,4,And you said that's pressure in your chest.,4,And you said that's pressure in your chest.,4,And you said that's pressure in your chest.,4,And I said that's pressure in your chest.,4,You said it was pressure in your chest.,3,You said it was pressure in your chest.,3
وفقًا لمسؤول في منظمة الصحة العالمية، ربما يصل عدد الحالات في إيران إلى خمسة أضعاف ما أُعلِن عنه.,"According to a WHO official, the number of cases in Iran may be as high as five times that reported.",3,"According to a WHO official, the number of cases in Iran may be as high as five times what was announced.",4,"According to a WHO official, the number of cases in Iran is probably up to five times what was announced.",4,"According to a WHO official, the number of cases in Iran is probably up to five times what was announced.",4,"According to a WHO official, the number of cases in Iran is probably up to five times what was announced.",4,"According to a WHO official, the number of cases in Iran is probably five times what has been announced.",4,"According to a WHO official, the number of cases in Iran may be as high as five times what was announced.",4,"According to a WHO official, the number of cases in Iran may be as many as five times what has been announced.",4
أشار تقرير سي إن إن إلى أن مزيج من عدد كبير من كبار السن وعدم القدرة على اختبار جميع المصابين بالفيروس حتى الآن في إيطاليا ربما ساهم في ارتفاع معدل الوفيات.,The CNN report suggested that a combination of a large number of older people and the inability to test all those infected with the virus so far in Italy may have contributed to a high mortality rate.,3,The CNN report noted that a combination of a large number of older people and the inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,3,The CNN report suggested that a combination of a large number of elderly people and the inability to test all those infected with the virus to date in Italy may have contributed to the high mortality rate.,4,The CNN report suggested that a combination of a large number of elderly people and the inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,4,The CNN report suggested that a combination of a large number of elderly people and the inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,4,CNN's report suggested that a combination of a large number of older adults and an inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,4,The CNN report suggested that a combination of a large number of older people and the inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,4,The CNN report suggested that a combination of a large number of older people and the inability to test all those infected with the virus so far in Italy may have contributed to the high mortality rate.,4
