English,105k,Score,avg_8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
114. The new justice system has brought with it new demands on the Administration.,114 - وقد جلب نظام العدالة الجديد معه مطالب جديدة على الإدارة.,4,114 - وقد جلب نظام العدالة الجديد معه مطالب جديدة على الإدارة.,4,114 - جلب نظام العدالة الجديد معه طلبات جديدة على الإدارة.,4,114 - جلب نظام العدالة الجديد معه طلبات جديدة على الإدارة.,4,114 - جلب نظام العدالة الجديد معه طلبات جديدة على الإدارة.,4,114 - وقد جلب نظام العدالة الجديد معه مطالب جديدة على الإدارة.,4,114 - وقد جلب نظام العدالة الجديد معه مطالب جديدة على الإدارة.,4,114 - جلب نظام العدالة الجديد معه مطالب جديدة على الإدارة.,4
They're from London.,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4,إنهم من لندن,4
Division of Policy and Practice (NYHQ),شعبة السياسات والممارسات (المقر بنيويورك),4,شعبة السياسات والممارسات (مقر نيويورك),4,شعبة السياسات والممارسات (نيويورك),3,شعبة السياسات والممارسات (المقر بنيويورك),4,شعبة السياسات والممارسات (نيويورك),3,شعبة السياسات والممارسات (نيويورك),3,شعبة السياسات والممارسات (المقر بنيويورك),4,شعبة السياسات والممارسات (مقر نيويورك),4
(c) Rejected the formula agreed to in Luanda of representation on the Ituri Pacification Preparatory Committee.,(ج) رفض الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في لجنة إيتوري التحضيرية.,3,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في لجنة إيتوري التحضيرية.,3,(ج) رفض الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4,(ج) رفضت الصيغة المتفق عليها في لواندا للتمثيل في اللجنة التحضيرية لإعادة السلام إلى إيتوري.,4
"114. The United States delegation said that it could not support the provision concerning the statute of limitations, in view, among other reasons, of its federal system.",114- وقال وفد الولايات المتحدة إنه لا يمكنه تأييد الحكم المتعلق بالتقادم، وذلك لأسباب من بينها النظام الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يستطيع تأييد الحكم المتعلق بالتقادم، وذلك لأسباب من بينها النظام الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يستطيع تأييد الحكم المتعلق بالتقادم، نظرا لعدة أسباب منها نظامها الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يمكنه تأييد الحكم المتعلق بالتقادم، نظراً لعدة أسباب منها نظامه الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يستطيع تأييد الحكم المتعلق بالتقادم، وذلك لأسباب منها نظامه الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يمكنه تأييد الحكم المتعلق بالتقادم، لأسباب منها نظامه الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يمكنه تأييد الحكم المتعلق بالتقادم، لأسباب منها نظامه الاتحادي.,4,114- وقال وفد الولايات المتحدة إنه لا يمكنه تأييد الحكم المتعلق بالتقادم، لأسباب منها نظامه الاتحادي.,4
"The northern Kosovo Serb leaders claim that they will not change their stance, regardless of Belgrade &apos; s approach.",ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4,ويدعي قادة صرب شمال كوسوفو أنهم لن يغيروا موقفهم، بغض النظر عن نهج بلغراد.,4
Migros and 10 producers' associations are involved at various stages of the process.,وتشارك ميغرو و10 رابطات للمنتجين في مختلف مراحل العملية.,4,ويشارك المهاجرون و10 جمعيات للمنتجين في مختلف مراحل العملية.,3,وتشارك ميجروس و10 رابطات للمنتجين في مراحل مختلفة من العملية.,4,وتشارك ميجروس و10 رابطات للمنتجين في مراحل مختلفة من العملية.,4,وتشارك ميجروس و10 رابطات للمنتجين في مراحل مختلفة من العملية.,4,تشارك ميجروس و10 جمعيات للمنتجين في مراحل مختلفة من العملية.,4,وتشارك ميجروس و10 رابطات للمنتجين في مختلف مراحل العملية.,4,وتشارك ميجروس و10 رابطات للمنتجين في مختلف مراحل العملية.,4
You disapprove?,أنت لا توافق؟,4,أنت لا توافق؟,4,أنت ترفض؟,4,أنت ترفض؟,4,أنت ترفض؟,4,أنت ترفض؟,4,أنت لا توافق؟,4,أنت ترفض؟,4
"1. Takes note with appreciation of the work of the United Nations Environment Programme in engaging business and industry to further develop corporate environmental and social responsibility, accountability and transparency;",1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية والمساءلة والشفافية البيئية والاجتماعية للشركات؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك قطاع الأعمال والصناعة لمواصلة تطوير المسؤولية البيئية والاجتماعية للشركات، والمساءلة والشفافية؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يضطلع به برنامج الأمم المتحدة للبيئة في إشراك قطاعا الأعمال والصناعة لمواصلة تطوير المسؤولية البيئية والاجتماعية للشركات والمساءلة والشفافية؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية والمساءلة والشفافية البيئية والاجتماعية للشركات؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يضطلع به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية والمساءلة والشفافية البيئية والاجتماعية للشركات؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية البيئية والاجتماعية للشركات، والمساءلة والشفافية؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية البيئية والاجتماعية للشركات، والمساءلة والشفافية؛,4,1 - يحيط علماً مع التقدير بالعمل الذي يقوم به برنامج الأمم المتحدة للبيئة في إشراك دوائر الأعمال والصناعة لمواصلة تطوير المسؤولية البيئية والاجتماعية للشركات، والمساءلة والشفافية؛,4
"That included the transfer of funds by the central Government to the Darfur Reconstruction and Development Fund to enable the implementation of reconstruction projects, the first tranche of which, $200 million, due upon signing the agreement on 14 July 2011, was deferred.",وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، وأُجِّل القسط الأول منها، وهو 200 مليون دولار، المستحق عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، التي أُرجئت الشريحة الأولى منها، وهي 200 مليون دولار، مستحقة عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، وأُرجئ الجزء الأول منها، وهو 200 مليون دولار، الذي كان مستحقا عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، وأُرجئت الشريحة الأولى منها، وهي 200 مليون دولار، مستحقة عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، التي أُرجئت الشريحة الأولى منها البالغة 200 مليون دولار، المستحقة عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق التعمير والتنمية في دارفور للتمكين من تنفيذ مشاريع التعمير، وقد أرجئ القسط الأول من هذا المبلغ، وهو 200 مليون دولار، المستحق عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، وأُرجئ القسط الأول منها، وهو 200 مليون دولار، المستحق عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4,وشمل ذلك قيام الحكومة المركزية بتحويل أموال إلى صندوق دارفور لإعادة الإعمار والتنمية للتمكين من تنفيذ مشاريع إعادة الإعمار، وأُرجئت الشريحة الأولى منها، وهي 200 مليون دولار، مستحقة عند توقيع الاتفاق في 14 تموز/يوليه 2011.,4
