English,105k,Score,avg8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
Rapid sharing of this protocol should enable scientific critique and shared learning.,ومن شأن التقاسم السريع لهذا البروتوكول أن يتيح النقد العلمي والتعلم المشترك.,4,ومن شأن التبادل السريع لهذا البروتوكول أن يمكّن من النقد العلمي والتعلم المشترك.,4,المشاركة السريعة في هذا البروتوكول يجب أن تمكن من النقد العلمي والتعلم المشترك.,4,ومن شأن التبادل السريع لهذا البروتوكول أن يتيح النقد العلمي والتعلم المشترك.,4,ومن شأن المشاركة السريعة في هذا البروتوكول أن تمكن من النقد العلمي والتعلم المشترك.,4,يجب أن يتيح التقاسم السريع لهذا البروتوكول النقد العلمي والتعلم المشترك.,4,ومن شأن التقاسم السريع لهذا البروتوكول أن يتيح النقد العلمي والتعلم المشترك.,4,ومن شأن التقاسم السريع لهذا البروتوكول أن يتيح النقد العلمي والتعلم المشترك.,4
"Since COVID-19 shows similarities to SARS-CoV and MERS-CoV, it is likely that their effect on pregnancy are similar.",نظرًا لأن كوفيد-19 يظهر أوجه تشابه مع سارس-كوف وميرس-كوف ، فمن المحتمل أن يكون تأثيرهما على الحمل مشابهًا.,4,نظرًا لأن COVID-19 يظهر أوجه تشابه مع SARS-CoV و MERS-CoV ، فمن المرجح أن يكون تأثيرهما على الحمل مشابهًا.,4,وبما أن كوفيد-19 يظهر أوجه تشابه مع سارس-كوف وميرس-كوف، فمن المحتمل أن يكون تأثيرها مشابهًا على الحمل.,4,وبما أن كوفيد-19 يظهر أوجه تشابه مع سارس-كوف وميرس-كوف، فمن المرجح أن يكون تأثيرها على الحمل متشابها.,4,وبما أن كوفيد-19 يظهر أوجه تشابه مع سارس-كوف وميرس-كوف، فمن المرجح أن يكون تأثيرها على الحمل متشابها.,4,وبما أن كوفيد-19 يظهر أوجه تشابه مع SARS-CoV وMERS-CoV، فمن المحتمل أن يكون تأثيرهما على الحمل متشابها.,4,وبما أن كوفيد-19 يظهر أوجه تشابه مع SARS-CoV و MERS-CoV، فمن المحتمل أن يكون تأثيرهما على الحمل متشابها.,4,وبما أن COVID-19 يظهر أوجه تشابه مع SARS-CoV و MERS-CoV ، فمن المرجح أن يكون تأثيرها على الحمل مشابهًا.,4
3) The Office of Emergency Services is directed to take necessary steps to ensure compliance with this Order.,(3) مكتب خدمات الطوارئ مكلف باتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,(3) مكتب خدمات الطوارئ مكلف باتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,3) يتم توجيه مكتب خدمات الطوارئ إلى اتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,3) يُطلب من مكتب خدمات الطوارئ اتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,3) يُطلب من مكتب خدمات الطوارئ اتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,3) يتم توجيه مكتب خدمات الطوارئ لاتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,(3) مكتب خدمات الطوارئ مكلف باتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4,(3) مكتب خدمات الطوارئ مكلف باتخاذ الخطوات اللازمة لضمان الامتثال لهذا الأمر.,4
"However, effectiveness depends on the contacts children maintain outside of school.",بيد أن الفعالية تتوقف على الاتصالات التي يقيمها الأطفال خارج المدرسة.,4,بيد أن الفعالية تتوقف على الاتصالات التي يقيمها الأطفال خارج المدرسة.,4,ومع ذلك، فإن الفعالية تعتمد على الاتصالات التي يحافظ عليها الأطفال خارج المدرسة.,4,بيد أن الفعالية تتوقف على الاتصالات التي يقيمها الأطفال خارج المدرسة.,4,بيد أن الفعالية تتوقف على الاتصالات التي يقيمها الأطفال خارج المدرسة.,4,ومع ذلك، فإن الفعالية تعتمد على الاتصالات التي يحتفظ بها الأطفال خارج المدرسة.,4,ومع ذلك، تعتمد الفعالية على الاتصالات التي يحتفظ بها الأطفال خارج المدرسة.,4,ومع ذلك، تتوقف الفعالية على الاتصالات التي يحتفظ بها الأطفال خارج المدرسة.,4
Several countries have started to encourage the use of face masks by members of the public.,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4,وبدأت عدة دول في تشجيع استخدام أقنعة الوجه من قبل أفراد من الجمهور.,4,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4,وبدأت عدة دول في تشجيع استخدام أقنعة الوجه من قبل أفراد الجمهور.,4,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4,وبدأت عدة بلدان في تشجيع أفراد الجمهور على استخدام أقنعة الوجه.,4
The use of birthing pools is not recommended for suspected or confirmed cases of COVID-19 due to the risk of infection via faeces.,لا يوصى باستخدام برك الولادة للحالات المشتبه بها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا يوصى باستخدام برك الولادة للحالات المشتبه بها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا ينصح باستخدام مسابح الولادة للحالات المشتبه أو المؤكدة من كوفيد-19 بسبب خطر الإصابة عن طريق البراز.,4,لا يوصى باستخدام برك الولادة للحالات المشتبه بها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا يوصى باستخدام مسابح الولادة للحالات المشتبه بها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا ينصح باستخدام برك الولادة للحالات المشتبه فيها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا يوصى باستخدام برك الولادة للحالات المشتبه فيها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4,لا يوصى باستخدام برك الولادة للحالات المشتبه بها أو المؤكدة من كوفيد-19 بسبب خطر العدوى عن طريق البراز.,4
"Particularly, we highlight and discuss the common theme that parental viruses of HCoVs are typically non-pathogenic in their natural reservoir hosts but become pathogenic after interspecies transmission to a new host.",وعلى وجه الخصوص، نبرز ونناقش الموضوع المشترك الذي مفاده أن فيروسات الوالدين من فيروسات نقص المناعة البشرية/متلازمة نقص المناعة المكتسب (الإيدز) عادة ما تكون غير مسببة للمرض في مستودعاتها الطبيعية ولكنها تصبح مسببة للمرض بعد انتقالها بين الأنواع إلى مضيف جديد.,2,وعلى وجه الخصوص، نبرز ونناقش الموضوع المشترك الذي مفاده أن فيروسات الوالدين من فيروسات نقص المناعة البشرية ليست مسببة للمرض عادة في مضيفيها من الخزانات الطبيعية ولكنها تصبح مسببة للأمراض بعد انتقالها بين الأنواع إلى مضيف جديد.,2,وبشكل خاص، نلقي الضوء ونناقش الموضوع المشترك أن الفيروسات الأبوية لفيروسات كورونا البشرية عادة ما تكون غير مسببة للمرض في مضيفاتها المستودعة الطبيعية ولكنها تصبح مسببة للمرض بعد انتقالها بين الأنواع إلى مضيف جديد.,4,وعلى وجه الخصوص، نسلط الضوء ونناقش الموضوع المشترك القائل بأن الفيروسات الأبوية لفيروسات كورونا البشرية عادة ما تكون غير مسببة للمرض في مضيفاتها من المستودعات الطبيعية ولكنها تصبح مسببة للمرض بعد انتقالها بين الأنواع إلى مضيف جديد.,4,وبشكل خاص، نسلط الضوء ونناقش الموضوع المشترك الذي مفاده أن الفيروسات الأبوية لفيروسات كورونا البشرية عادة ما تكون غير مسببة للمرض في مضيفاتها من المستودعات الطبيعية ولكنها تصبح مسببة للمرض بعد انتقالها بين الأنواع إلى مضيف جديد.,4,وعلى وجه الخصوص، نبرز ونناقش الموضوع المشترك الذي مفاده أن الفيروسات الأبوية من فيروسات HCoV هي عادة غير مسببة للمرض في مضيفات الخزان الطبيعي ولكن تصبح مسببة للأمراض بعد انتقالها بين الأنواع إلى مضيف جديد.,3,وعلى وجه الخصوص، نبرز ونناقش الموضوع المشترك الذي مفاده أن الفيروسات الأبوية من فيروسات HCoV هي عادة غير مسببة للمرض في مضيفات الخزانات الطبيعية ولكنها تصبح مسببة للأمراض بعد انتقالها بين الأنواع إلى مضيف جديد.,3,وعلى وجه الخصوص، نسلط الضوء ونناقش الموضوع المشترك الذي مفاده أن فيروسات الوالدين من فيروسات HCoV عادة ما تكون غير مسببة للأمراض في مضيفات الخزان الطبيعي ولكنها تصبح مسببة للأمراض بعد انتقالها بين الأنواع إلى مضيف جديد.,3
And you said this is a pressure in your chest,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4,وقلت أن هذا ضغط في صدرك,4
"According to a WHO official, there may be five times more cases in Iran than what is being reported.",ووفقاً لأحد مسؤولي منظمة الصحة العالمية، قد تكون هناك خمس حالات في إيران أكثر من الحالات المبلغ عنها.,2,ووفقاً لأحد مسؤولي منظمة الصحة العالمية، قد تكون هناك خمس حالات في إيران أكثر من الحالات المبلغ عنها.,2,ووفقا لمسؤول في منظمة الصحة العالمية، قد يكون هناك خمسة أضعاف الحالات في إيران مما يتم الإبلاغ عنه.,4,ووفقا لمسؤول في منظمة الصحة العالمية، قد يكون هناك خمس مرات أكثر من الحالات في إيران مما يتم الإبلاغ عنه.,3,ووفقا لأحد مسؤولي منظمة الصحة العالمية، قد تكون هناك خمس مرات أكثر من الحالات في إيران مما يتم الإبلاغ عنه.,3,وبحسب مسؤول في منظمة الصحة العالمية، قد يكون هناك خمسة أضعاف الحالات في إيران أكثر مما يتم الإبلاغ عنه.,4,ووفقاً لأحد مسؤولي منظمة الصحة العالمية، قد يكون هناك خمس مرات أكثر من الحالات المبلغ عنها في إيران.,3,ووفقا لأحد مسؤولي منظمة الصحة العالمية، قد يكون هناك خمس مرات أكثر من الحالات المبلغ عنها في إيران.,3
A CNN report indicated that the combination of Italy's large elderly population and inability to test all who have the virus to date may be contributing to the high fatality rate.,أشار تقرير سي إن إن إلى أن الجمع بين العدد الكبير من كبار السن في إيطاليا وعدم القدرة على اختبار جميع المصابين بالفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,أشار تقرير سي إن إن إلى أن الجمع بين العدد الكبير من كبار السن في إيطاليا وعدم القدرة على اختبار جميع المصابين بالفيروس حتى الآن قد يسهم في ارتفاع معدل الوفيات.,4,وأشار تقرير لـ CNN إلى أن مزيج كبار السن في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,وأشار تقرير سي إن إن إلى أن مزيج كبار السن في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,وأشار تقرير سي إن إن إلى أن مزيج كبار السن في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,وأشار تقرير CNN إلى أن الجمع بين العدد الكبير من السكان المسنين في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,وأشار تقرير سي إن إن إلى أن الجمع بين العدد الكبير من كبار السن في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4,وأشار تقرير سي إن إن إلى أن الجمع بين العدد الكبير من كبار السن في إيطاليا وعدم القدرة على اختبار جميع الذين لديهم الفيروس حتى الآن قد يساهم في ارتفاع معدل الوفيات.,4
